"CompoundID","WT-Fe","WT+Fe","log2fc","pvalue","FDR","VIP"
"Compound_0001",19781137.5633333,13645419.8433333,0.53570860998845,0.0852283008852163,0.178134911513481,1.00667141055154
"Compound_0002",1896186.40533333,1765185.732,0.103280804731553,0.635468037081603,0.706075596757337,0.468763847955726
"Compound_0003",4930816.93233333,3396821.86833333,0.537641126251594,0.038348964587309,0.113581328236298,1.20466098045705
"Compound_0004",19335695.4633333,12685367.63,0.608101325763169,0.0696067014767983,0.158741317173897,1.05923768844267
"Compound_0005",842247.3202,1041170.00666667,-0.305889819046715,0.792100822691909,0.830500298876523,0.195229564020174
"Compound_0006",102807109.63,86887894.02,0.242712950332984,0.172908928450873,0.276773327812929,0.85651832201776
"Compound_0007",5163992.95166667,2218450.943,1.21893438057316,0.0176864668655796,0.0770417526228995,1.17510537233523
"Compound_0008",2064665.39066667,516277.074966667,1.99969054822044,0.0929306917130336,0.186664240373912,1.09556813220307
"Compound_0009",6178914.45966667,6501129.77933333,-0.073337053318194,0.873999898000928,0.903635247516245,0.133863729021428
"Compound_0010",2359547.48433333,1723652.42233333,0.453041323391656,0.283058054317207,0.394077830112279,0.732012267026774
"Compound_0011",5694748.92866667,5243967.685,0.118973442241262,0.637078338092204,0.707083868744828,0.374129702550854
"Compound_0012",2227050.22866667,1448352.93096667,0.620720899364232,0.132006833400551,0.235410076821693,0.911680459388326
"Compound_0013",2756867.23666667,2081634.05333333,0.405313324368808,0.0335983862706156,0.105920336378551,1.128079585364
"Compound_0014",32594965.9033333,10812639.1996667,1.59193046025429,0.00962055026474801,0.0604197673106076,1.28593805993414
"Compound_0015",2113740.312,1363385.79076667,0.632604289843779,0.0845218688067923,0.177238642593725,1.12888616466738
"Compound_0016",104837099.6,73354043.0066667,0.515200956770468,0.0669375743595065,0.156777484604362,1.14819513955962
"Compound_0017",168912806,92291541.68,0.872008369982966,0.0234688330974945,0.0876546778340156,1.15336765149683
"Compound_0018",2421677.692,2820268.219,-0.219825509920453,0.414677761288064,0.513857852095803,0.554856463973595
"Compound_0019",2351522.64866667,2414885.50366667,-0.0383595609952433,0.88077454116469,0.909628343457147,0.458710804841075
"Compound_0020",20390221.5466667,6132332.73733333,1.73336956665956,0.0169162147610636,0.0749336877096842,1.21734757184098
"Compound_0021",16340014.7433333,12987810.924,0.331250998008426,0.337601339731155,0.445979042542577,0.725341786458942
"Compound_0022",18641091.54,9017892.968,1.04762404825447,0.0426903566558247,0.121598871944616,1.13959920016416
"Compound_0023",408329553.366667,527855857.4,-0.370410035676927,0.619727830926986,0.693141169888271,0.485738741805281
"Compound_0024",16036267.6866667,13592471.86,0.238530563723346,0.345183557547432,0.453099094592959,0.659327346410911
"Compound_0025",8076340.01133333,3817140.24433333,1.08120945582208,0.0578161968943042,0.143193243972578,1.08603989406814
"Compound_0026",22822846.82,36221023.7166667,-0.666348563640679,0.0668667073178805,0.156777484604362,1.11267406661393
"Compound_0027",32090496.5233333,7740611.22466667,2.05162671600453,0.0402427222005501,0.117506221810084,1.21510503260215
"Compound_0028",994355.1593,2924555.52766667,-1.55638423709222,0.0330389071801776,0.105588260060361,1.22933852788147
"Compound_0029",724155.479266667,1834940.041,-1.34136153349263,0.0184035659055799,0.0782534616701735,1.23783146726507
"Compound_0030",2187614.50033333,1299826.5878,0.751039366414284,0.0454322049859768,0.125013737622574,1.17078146176251
"Compound_0031",20779802.1866667,12587347.3466667,0.723207638549469,0.0177982285118495,0.0773474416636449,1.21286684275808
"Compound_0032",15944046.8033333,9056737.382,0.815954520791656,0.0255836319734719,0.0913350392910899,1.14640410053472
"Compound_0033",3022330.44866667,1332578.34176667,1.18144105626069,0.00383575363488194,0.0505662936500562,1.25268733025729
"Compound_0034",3806252.29333333,3530526.54566667,0.108487827986337,0.656267756670301,0.722404817216819,0.310485609239165
"Compound_0035",3468777.63266667,1451007.29076667,1.2573725906407,0.0104147760341006,0.0615117104111306,1.21738999925885
"Compound_0036",7556305.49766667,4125976.368,0.872945472299381,0.0262207970093705,0.0928965379760553,1.23827649811921
"Compound_0037",49141192.5266667,21503550.0633333,1.19235801167813,0.00690702829092994,0.0537534419294129,1.2811389654297
"Compound_0038",6366659.47933333,1540831.41243333,2.04682758341455,0.0304456226758938,0.101483795110015,1.20810719681571
"Compound_0039",3036233.809,10052401.2286667,-1.72718536410911,0.0128565169431281,0.0666991865729633,1.26913588081888
"Compound_0040",8509629.99333333,3773457.64266667,1.17320932360275,0.00614621295473757,0.0517283081258457,1.25728064565887
"Compound_0041",75210792.2,40443270.6266667,0.89504002099977,0.0130743656717271,0.066992617491494,1.28673776506507
"Compound_0042",29639499.7466667,8864255.20966667,1.74144977459591,0.00256083320874925,0.0436101730269014,1.27058168929628
"Compound_0043",6792327.97166667,1914304.32833333,1.82708592011648,0.0105389173962269,0.0615117104111306,1.2332843722053
"Compound_0044",9644664.78433333,3468533.037,1.47540546999022,0.0785498009796219,0.170689393723549,1.13375803445559
"Compound_0045",3927806.60466667,2820314.72133333,0.477867733538974,0.366274484580089,0.470490705330778,0.667168315514349
"Compound_0046",15753162.5966667,11408434.3316667,0.465540679460198,0.132596347334923,0.235811262704269,1.01644797204579
"Compound_0047",15686452.4766667,6695232.041,1.22831315881071,0.21059999749988,0.319246939975368,0.943205679345421
"Compound_0048",12347898.3466667,8768253.02066667,0.493904176143072,0.0425497821221424,0.121570806063264,1.15430516036898
"Compound_0049",9074068.63766667,6827892.24466667,0.41030928204724,0.127071125057195,0.230813672529824,1.01581309237694
"Compound_0050",2894198.80933333,2350366.92833333,0.300278026193774,0.38170671106476,0.483963519141413,0.626945313327356
"Compound_0051",1414126.8119,455684.326666667,1.63380484489928,0.0351496052785468,0.10878247224309,1.19191664340119
"Compound_0052",17777955.0433333,12184116.9766667,0.545087685909316,0.0139416882133821,0.0695215551659271,1.24598757583228
"Compound_0053",1153011.77033333,485387.376666667,1.24819874625843,0.0249153102539399,0.0901604612302105,1.16886898149082
"Compound_0054",1617315.705,1354422.74533333,0.255923218537836,0.312551120009994,0.423720906135998,0.793979503827369
"Compound_0055",22865843.9933333,23109726.6333333,-0.0153060232100488,0.954417890907916,0.964267939754874,0.452150280012268
"Compound_0056",1095435801.76667,744529317.2,0.557104373587906,0.0601483537567062,0.147205181562465,1.09092302432713
"Compound_0057",12485365.1666667,9704724.223,0.363478895327611,0.0312577685764725,0.102538711732344,1.13917514129824
"Compound_0058",4507331.00166667,7923304.31433333,-0.813828813489178,0.388689340742319,0.490507212059906,0.746918221867507
"Compound_0059",15867609.61,11609430.2433333,0.450787637764573,0.12014002892777,0.22234871025438,1.0249178822659
"Compound_0060",12501054.0133333,8102304.30966667,0.625645562857237,0.000976516716915101,0.0349073359892374,1.29101600587666
"Compound_0061",66774770.2266667,13871098.0066667,2.26722111366819,0.00884699009885034,0.0580171106303337,1.27726942524292
"Compound_0062",44876596.2766667,18263898.7333333,1.29696849155091,0.111299192830959,0.211520834878527,1.02901466604161
"Compound_0063",4368281.108,2662453.699,0.714309263094133,0.146296483686752,0.248503616125442,0.950535841583818
"Compound_0064",10653135.61,8735924.64233333,0.286245814743751,0.310781860903573,0.422554284561876,0.782646586306786
"Compound_0065",127037008.7,101136275.223333,0.328948296182675,0.183083568983971,0.288834129185908,0.930458562986755
"Compound_0066",13675196.6233333,12947168.6266667,0.0789249421648793,0.531509436916598,0.612140899482893,0.507462864331731
"Compound_0067",2142726.89133333,1771661.56666667,0.274344940024273,0.327357236151596,0.435829027437064,0.686659098836741
"Compound_0068",23727993.9,15214661.7066667,0.641127875689057,0.0231299204764982,0.0873505402061074,1.25531767305553
"Compound_0069",4128280.74433333,549688.853096667,2.90885395578971,0.000908066661787274,0.0349073359892374,1.30094262671583
"Compound_0070",3993434.446,5036518.59033333,-0.334796807889893,0.425768149119386,0.522025147511305,0.561246349142717
"Compound_0071",425530762.6,289294060.733333,0.556726726687186,0.117014110268448,0.218739944823431,1.00616981023117
"Compound_0072",31705120.33,13457093.79,1.23634897484675,0.0692994138628753,0.158740036680971,1.1400631184273
"Compound_0073",7142402.87233333,5518651.82466667,0.372093644630698,0.0174740726387776,0.0764747649602972,1.17701077495478
"Compound_0074",8881889.191,8129869.95633333,0.127634297146867,0.503913894748324,0.588374039065839,0.465343668271161
