"CompoundID","WT-Fe","WT+Fe","log2fc","pvalue","FDR","VIP","Compound_name","Name","mean_peak","ions","CD_Check","mf","mw","RT","KEGG","High_identical"
"Compound_0001",19781137.5633333,13645419.8433333,0.53570860998845,0.0852283008852163,0.178134911513481,1.00667141055154,"?-linolenic acid","?-linolenic acid",17586426.48,"pos",TRUE,"C18H30O2",278.22341,15.94,NA,FALSE
"Compound_0002",1896186.40533333,1765185.732,0.103280804731553,0.635468037081603,0.706075596757337,0.468763847955726,"(-) -Semiglabrin","(-) -Semiglabrin",1973931.904,"pos",FALSE,"C23H20O6",392.12443,10.116,NA,FALSE
"Compound_0003",4930816.93233333,3396821.86833333,0.537641126251594,0.038348964587309,0.113581328236298,1.20466098045705,"(-)-Camphanic acid","(-)-Camphanic acid-isoform1",4962025.198,"pos",FALSE,"C10H14O4",220.07256,5.916,NA,FALSE
"Compound_0004",19335695.4633333,12685367.63,0.608101325763169,0.0696067014767983,0.158741317173897,1.05923768844267,"(-)-Camphanic acid","(-)-Camphanic acid-isoform2",17877543.46,"pos",FALSE,"C10H14O4",220.07252,9.05,NA,FALSE
"Compound_0005",842247.3202,1041170.00666667,-0.305889819046715,0.792100822691909,0.830500298876523,0.195229564020174,"(-)-Quebrachitol","(-)-Quebrachitol",1177882.255,"pos",FALSE,"C7H14O6",194.07964,7.037,NA,TRUE
"Compound_0006",102807109.63,86887894.02,0.242712950332984,0.172908928450873,0.276773327812929,0.85651832201776,"(-)threo-iso(homo)2citrate","(-)threo-iso(homo)2citrate-isoform1",89772252.38,"pos",FALSE,"C8H12O7",220.05729,1.69,NA,FALSE
"Compound_0007",5163992.95166667,2218450.943,1.21893438057316,0.0176864668655796,0.0770417526228995,1.17510537233523,"(-)threo-iso(homo)2citrate","(-)threo-iso(homo)2citrate-isoform2",3717636.07,"pos",FALSE,"C8H12O7",220.05732,6.926,NA,FALSE
"Compound_0008",2064665.39066667,516277.074966667,1.99969054822044,0.0929306917130336,0.186664240373912,1.09556813220307,"(+) -Gallocatechin","(+) -Gallocatechin",1204849.394,"pos",FALSE,"C15H14O7",306.07273,5.87,NA,FALSE
"Compound_0009",6178914.45966667,6501129.77933333,-0.073337053318194,0.873999898000928,0.903635247516245,0.133863729021428,"(+)-epoxyserinone B","(+)-epoxyserinone B",8491050.606,"pos",FALSE,"C11H14O5",226.08321,8.89,NA,TRUE
"Compound_0010",2359547.48433333,1723652.42233333,0.453041323391656,0.283058054317207,0.394077830112279,0.732012267026774,"(+)-N-Methylconiine","(+)-N-Methylconiine",2184409.877,"pos",FALSE,"C9H19N",141.15111,10.349,"C10159",TRUE
