"CompoundID","WT-Fe","WT+Fe","log2fc","pvalue","FDR","VIP"
"Compound_0003",4930816.93233333,3396821.86833333,0.537641126251594,0.038348964587309,0.113581328236298,1.20466098045705
"Compound_0007",5163992.95166667,2218450.943,1.21893438057316,0.0176864668655796,0.0770417526228995,1.17510537233523
"Compound_0013",2756867.23666667,2081634.05333333,0.405313324368808,0.0335983862706156,0.105920336378551,1.128079585364
"Compound_0014",32594965.9033333,10812639.1996667,1.59193046025429,0.00962055026474801,0.0604197673106076,1.28593805993414
"Compound_0017",168912806,92291541.68,0.872008369982966,0.0234688330974945,0.0876546778340156,1.15336765149683
"Compound_0020",20390221.5466667,6132332.73733333,1.73336956665956,0.0169162147610636,0.0749336877096842,1.21734757184098
"Compound_0022",18641091.54,9017892.968,1.04762404825447,0.0426903566558247,0.121598871944616,1.13959920016416
"Compound_0027",32090496.5233333,7740611.22466667,2.05162671600453,0.0402427222005501,0.117506221810084,1.21510503260215
"Compound_0028",994355.1593,2924555.52766667,-1.55638423709222,0.0330389071801776,0.105588260060361,1.22933852788147
"Compound_0029",724155.479266667,1834940.041,-1.34136153349263,0.0184035659055799,0.0782534616701735,1.23783146726507
"Compound_0030",2187614.50033333,1299826.5878,0.751039366414284,0.0454322049859768,0.125013737622574,1.17078146176251
"Compound_0031",20779802.1866667,12587347.3466667,0.723207638549469,0.0177982285118495,0.0773474416636449,1.21286684275808
"Compound_0032",15944046.8033333,9056737.382,0.815954520791656,0.0255836319734719,0.0913350392910899,1.14640410053472
"Compound_0033",3022330.44866667,1332578.34176667,1.18144105626069,0.00383575363488194,0.0505662936500562,1.25268733025729
"Compound_0035",3468777.63266667,1451007.29076667,1.2573725906407,0.0104147760341006,0.0615117104111306,1.21738999925885
"Compound_0036",7556305.49766667,4125976.368,0.872945472299381,0.0262207970093705,0.0928965379760553,1.23827649811921
"Compound_0037",49141192.5266667,21503550.0633333,1.19235801167813,0.00690702829092994,0.0537534419294129,1.2811389654297
"Compound_0038",6366659.47933333,1540831.41243333,2.04682758341455,0.0304456226758938,0.101483795110015,1.20810719681571
"Compound_0039",3036233.809,10052401.2286667,-1.72718536410911,0.0128565169431281,0.0666991865729633,1.26913588081888
"Compound_0040",8509629.99333333,3773457.64266667,1.17320932360275,0.00614621295473757,0.0517283081258457,1.25728064565887
"Compound_0041",75210792.2,40443270.6266667,0.89504002099977,0.0130743656717271,0.066992617491494,1.28673776506507
"Compound_0042",29639499.7466667,8864255.20966667,1.74144977459591,0.00256083320874925,0.0436101730269014,1.27058168929628
"Compound_0043",6792327.97166667,1914304.32833333,1.82708592011648,0.0105389173962269,0.0615117104111306,1.2332843722053
"Compound_0048",12347898.3466667,8768253.02066667,0.493904176143072,0.0425497821221424,0.121570806063264,1.15430516036898
"Compound_0051",1414126.8119,455684.326666667,1.63380484489928,0.0351496052785468,0.10878247224309,1.19191664340119
"Compound_0052",17777955.0433333,12184116.9766667,0.545087685909316,0.0139416882133821,0.0695215551659271,1.24598757583228
"Compound_0053",1153011.77033333,485387.376666667,1.24819874625843,0.0249153102539399,0.0901604612302105,1.16886898149082
"Compound_0057",12485365.1666667,9704724.223,0.363478895327611,0.0312577685764725,0.102538711732344,1.13917514129824
"Compound_0060",12501054.0133333,8102304.30966667,0.625645562857237,0.000976516716915101,0.0349073359892374,1.29101600587666
