"CompoundID","WT-Fe","WT+Fe","log2fc","pvalue","FDR","VIP","Compound_name","Name","mean_peak","ions","CD_Check","mf","mw","RT","KEGG","High_identical"
"Compound_0003",4930816.93233333,3396821.86833333,0.537641126251594,0.038348964587309,0.113581328236298,1.20466098045705,"(-)-Camphanic acid","(-)-Camphanic acid-isoform1",4962025.198,"pos",FALSE,"C10H14O4",220.07256,5.916,NA,FALSE
"Compound_0007",5163992.95166667,2218450.943,1.21893438057316,0.0176864668655796,0.0770417526228995,1.17510537233523,"(-)threo-iso(homo)2citrate","(-)threo-iso(homo)2citrate-isoform2",3717636.07,"pos",FALSE,"C8H12O7",220.05732,6.926,NA,FALSE
"Compound_0013",2756867.23666667,2081634.05333333,0.405313324368808,0.0335983862706156,0.105920336378551,1.128079585364,"(+/-)-trans-Acenaphthene-1_2-diol","(+/-)-trans-Acenaphthene-1_2-diol-isoform1",2457209.003,"pos",FALSE,"C12H10O2",186.06737,7.9,NA,FALSE
"Compound_0014",32594965.9033333,10812639.1996667,1.59193046025429,0.00962055026474801,0.0604197673106076,1.28593805993414,"(+/-)-trans-Acenaphthene-1_2-diol","(+/-)-trans-Acenaphthene-1_2-diol-isoform2",22328080.25,"pos",FALSE,"C12H10O2",186.06731,9.217,NA,FALSE
"Compound_0017",168912806,92291541.68,0.872008369982966,0.0234688330974945,0.0876546778340156,1.15336765149683,"(1R_2S)-1-Hydroxypropane-1_2_3-tricarboxylate","(1R_2S)-1-Hydroxypropane-1_2_3-tricarboxylate",126923990.1,"pos",FALSE,"C6H8O7",192.02616,1.541,NA,FALSE
"Compound_0020",20390221.5466667,6132332.73733333,1.73336956665956,0.0169162147610636,0.0749336877096842,1.21734757184098,"(1R,2R,5S,8R,10R,14R)-20-hydroxy-1,2,14,18,18-pentamethyl-17-oxo-8-(prop-1-en-2-yl)pentacyclo[11.8.0.0Â?,Âaâ°.0âµ,âa.0Âaâ´,Âaâa]henicosane-5-carboxylic acid","(1R,2R,5S,8R,10R,14R)-20-hydroxy-1,2,14,18,18-pentamethyl-17-oxo-8-(prop-1-en-2-yl)pentacyclo[11.8.0.0Â?,Âaâ°.0âµ,âa.0Âaâ´,Âaâa]henicosane-5-carboxylic acid",12826951.28,"pos",TRUE,"C30H46O4",470.33777,18.505,NA,FALSE
"Compound_0022",18641091.54,9017892.968,1.04762404825447,0.0426903566558247,0.121598871944616,1.13959920016416,"(1R,9S)-11-(3-Methoxypropanoyl)-3-(2-thienyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","(1R,9S)-11-(3-Methoxypropanoyl)-3-(2-thienyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one",16687389.74,"pos",FALSE,"C19H22N2O3S",380.12188,10.998,NA,FALSE
"Compound_0027",32090496.5233333,7740611.22466667,2.05162671600453,0.0402427222005501,0.117506221810084,1.21510503260215,"(22E)-Cholesta-4,6,8(14),22-tetraen-3-on","(22E)-Cholesta-4,6,8(14),22-tetraen-3-on",13522061.48,"pos",FALSE,"C27H38O",378.29061,17.2,NA,TRUE
"Compound_0028",994355.1593,2924555.52766667,-1.55638423709222,0.0330389071801776,0.105588260060361,1.22933852788147,"(22E)-Stigmasta-3,5,22-triene","(22E)-Stigmasta-3,5,22-triene",2950950.813,"pos",FALSE,"C29H46",394.3584,18.645,NA,FALSE
"Compound_0029",724155.479266667,1834940.041,-1.34136153349263,0.0184035659055799,0.0782534616701735,1.23783146726507,"(24R_24'R)-Fucosterolepoxide","(24R_24'R)-Fucosterolepoxide",1865508.095,"pos",FALSE,"C29H48O2",428.36338,20.011,NA,FALSE
"Compound_0030",2187614.50033333,1299826.5878,0.751039366414284,0.0454322049859768,0.125013737622574,1.17078146176251,"(2E,4Z)-4-(Carboxymethylene)-5-hydroxy-2-heptenedioic acid","(2E,4Z)-4-(Carboxymethylene)-5-hydroxy-2-heptenedioic acid",2016549.924,"pos",FALSE,"C9H10O7",230.0416,6.122,NA,FALSE
"Compound_0031",20779802.1866667,12587347.3466667,0.723207638549469,0.0177982285118495,0.0773474416636449,1.21286684275808,"(2E)-3-(4-methoxy-2-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)prop-2-enoic acid","(2E)-3-(4-methoxy-2-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)prop-2-enoic acid-isoform1",25460975.42,"pos",FALSE,"C16H20O9",378.09096,6.563,NA,FALSE
"Compound_0032",15944046.8033333,9056737.382,0.815954520791656,0.0255836319734719,0.0913350392910899,1.14640410053472,"(2E)-3-(4-methoxy-2-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)prop-2-enoic acid","(2E)-3-(4-methoxy-2-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)prop-2-enoic acid-isoform2",15074117.69,"pos",FALSE,"C16H20O9",378.09107,8.766,NA,FALSE
