"CompoundID","mf","mw","Name","Compound_id","Compound_common_name","Compound_synonyms","Molecular_weight","Smiles","Links","EC","Reaction_equation","Pathway","TERM","LINK","judge"
"Compound_0017","C6H8O7",192.02616,"(1R_2S)-1-Hydroxypropane-1_2_3-tricarboxylate","CPD-13907","dehydroascorbate (bicyclic form)","dehydroascorbate monohydrate",192.125,"C2(=O)(O[C@H]1([C@](O)(OC[C@H](O)1)[C@](O)(O)2))","PUBCHEM:90659000","RXN-12861","dehydroascorbate (bicyclic form)  ->  2,3-dioxo-L-gulonate + H+","L-ascorbate degradation V","PWY-6959","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6959","T"
"Compound_0017","C6H8O7",192.02616,"(1R_2S)-1-Hydroxypropane-1_2_3-tricarboxylate","CPD-13907","dehydroascorbate (bicyclic form)","dehydroascorbate monohydrate",192.125,"C2(=O)(O[C@H]1([C@](O)(OC[C@H](O)1)[C@](O)(O)2))","PUBCHEM:90659000","RXN-12862","L-dehydro-ascorbate + H2O  ->  dehydroascorbate (bicyclic form)","L-ascorbate degradation V","PWY-6959","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6959","T"
"Compound_0029","C29H48O2",428.36338,"(24R_24'R)-Fucosterolepoxide","CPD-12907","4alpha-hydroxymethyl-ergosta-7,24(241)-dien-3beta-ol","",428.697,"CC(C)C(CC[C@@H](C)[C@H]3(CC[C@H]4(C1([C@@H]([C@@]2(C)(CC[C@H](O)[C@@H](CO)[C@H](CC=1)2))CC[C@](C)34))))=C","PUBCHEM:102515391*PUBCHEM:50986222","RXN-11931","4alpha-hydroxymethyl-ergosta-7,24(241)-dien-3beta-ol + 2 a ferrocytochrome b5 + oxygen + 2 H+  ->  4alpha-formyl-ergosta-7,24(241)-dien-3beta-ol + 2 a ferricytochrome b5 + 2 H2O","phytosterol biosynthesis (plants)","PWY-2541","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-2541","T"
"Compound_0029","C29H48O2",428.36338,"(24R_24'R)-Fucosterolepoxide","CPD-12907","4alpha-hydroxymethyl-ergosta-7,24(241)-dien-3beta-ol","",428.697,"CC(C)C(CC[C@@H](C)[C@H]3(CC[C@H]4(C1([C@@H]([C@@]2(C)(CC[C@H](O)[C@@H](CO)[C@H](CC=1)2))CC[C@](C)34))))=C","PUBCHEM:102515391*PUBCHEM:50986222","RXN-11930","24-methylidenelophenol + 2 a ferrocytochrome b5 + oxygen + 2 H+  ->  4alpha-hydroxymethyl-ergosta-7,24(241)-dien-3beta-ol + 2 a ferricytochrome b5 + H2O","phytosterol biosynthesis (plants)","PWY-2541","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-2541","T"
"Compound_0042","C6H6O5",158.02081,"(2Z,4E)-2-hydroxymuconic acid-isoform1","2K-ADIPATE","2-oxoadipate","2-ketoadipate*&alpha;-ketoadipate*2-keto-adipate*2-oxohexanedionic acid",158.11,"C(CC(=O)C(=O)[O-])CC(=O)[O-]","REFMET:Oxoadipic acid*METABOLIGHTS:MTBLC57499*HMDB:HMDB00225*CHEMSPIDER:19951093*CHEBI:57499*PUBCHEM:23615192*LIGAND-CPD:C00322*CAS:3184-35-8","EC-1.2.1","2-oxoadipate + coenzyme A + NAD+  ->  CO2 + glutaryl-CoA + NADH","lysine degradation III","PWYQT-1","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWYQT-1","T"
"Compound_0042","C6H6O5",158.02081,"(2Z,4E)-2-hydroxymuconic acid-isoform1","2K-ADIPATE","2-oxoadipate","2-ketoadipate*&alpha;-ketoadipate*2-keto-adipate*2-oxohexanedionic acid",158.11,"C(CC(=O)C(=O)[O-])CC(=O)[O-]","REFMET:Oxoadipic acid*METABOLIGHTS:MTBLC57499*HMDB:HMDB00225*CHEMSPIDER:19951093*CHEBI:57499*PUBCHEM:23615192*LIGAND-CPD:C00322*CAS:3184-35-8","EC-1.2.1","2-oxoadipate + coenzyme A + NAD+  ->  CO2 + glutaryl-CoA + NADH","lysine degradation II","LYSINE-DEG2-PWY","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=LYSINE-DEG2-PWY","T"
"Compound_0042","C6H6O5",158.02081,"(2Z,4E)-2-hydroxymuconic acid-isoform1","2K-ADIPATE","2-oxoadipate","2-ketoadipate*&alpha;-ketoadipate*2-keto-adipate*2-oxohexanedionic acid",158.11,"C(CC(=O)C(=O)[O-])CC(=O)[O-]","REFMET:Oxoadipic acid*METABOLIGHTS:MTBLC57499*HMDB:HMDB00225*CHEMSPIDER:19951093*CHEBI:57499*PUBCHEM:23615192*LIGAND-CPD:C00322*CAS:3184-35-8","EC-2.6.1.39","2-oxoglutarate + L-2-aminoadipate  ->  L-glutamate + 2-oxoadipate","lysine degradation III","PWYQT-1","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWYQT-1","T"
"Compound_0042","C6H6O5",158.02081,"(2Z,4E)-2-hydroxymuconic acid-isoform1","2K-ADIPATE","2-oxoadipate","2-ketoadipate*&alpha;-ketoadipate*2-keto-adipate*2-oxohexanedionic acid",158.11,"C(CC(=O)C(=O)[O-])CC(=O)[O-]","REFMET:Oxoadipic acid*METABOLIGHTS:MTBLC57499*HMDB:HMDB00225*CHEMSPIDER:19951093*CHEBI:57499*PUBCHEM:23615192*LIGAND-CPD:C00322*CAS:3184-35-8","EC-2.6.1.39","2-oxoglutarate + L-2-aminoadipate  ->  L-glutamate + 2-oxoadipate","lysine degradation II","LYSINE-DEG2-PWY","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=LYSINE-DEG2-PWY","T"
"Compound_0043","C6H6O5",158.02082,"(2Z,4E)-2-hydroxymuconic acid-isoform2","2K-ADIPATE","2-oxoadipate","2-ketoadipate*&alpha;-ketoadipate*2-keto-adipate*2-oxohexanedionic acid",158.11,"C(CC(=O)C(=O)[O-])CC(=O)[O-]","REFMET:Oxoadipic acid*METABOLIGHTS:MTBLC57499*HMDB:HMDB00225*CHEMSPIDER:19951093*CHEBI:57499*PUBCHEM:23615192*LIGAND-CPD:C00322*CAS:3184-35-8","EC-1.2.1","2-oxoadipate + coenzyme A + NAD+  ->  CO2 + glutaryl-CoA + NADH","lysine degradation III","PWYQT-1","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWYQT-1","T"
"Compound_0043","C6H6O5",158.02082,"(2Z,4E)-2-hydroxymuconic acid-isoform2","2K-ADIPATE","2-oxoadipate","2-ketoadipate*&alpha;-ketoadipate*2-keto-adipate*2-oxohexanedionic acid",158.11,"C(CC(=O)C(=O)[O-])CC(=O)[O-]","REFMET:Oxoadipic acid*METABOLIGHTS:MTBLC57499*HMDB:HMDB00225*CHEMSPIDER:19951093*CHEBI:57499*PUBCHEM:23615192*LIGAND-CPD:C00322*CAS:3184-35-8","EC-1.2.1","2-oxoadipate + coenzyme A + NAD+  ->  CO2 + glutaryl-CoA + NADH","lysine degradation II","LYSINE-DEG2-PWY","HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=LYSINE-DEG2-PWY","T"
