"CompoundID","myb_tri","col","log2fc","pvalue","FDR","VIP","Compound_name","Name","assumed_isotopic_group","mean_peak","ions","CD_Check","cid","MolecularFormula","MolecularWeight","InChIKey","IUPACName","ExactMass","kingdom","superclass","class","subclass","level.5","level.6","level.7","level.8","level.9","mf","mw","RT","Judge","KEGG","Check_MF","Check_MW","High_identical"
"Compound_0001",31457729.9533333,23646077.8466667,0.411813662127314,0.00891405426962833,0.418491389921499,1.76399360245433,"(R)-2,4-bis(4-hydroxy-3-methoxyphenyl)-2-methylcyclopent-4-ene-1,3-dione_120172","(R)-2,4-bis(4-hydroxy-3-methoxyphenyl)-2-methylcyclopent-4-ene-1,3-dione_120172",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C20 H18 O6",354.10961,7.946,NA,NA,NA,NA,NA
"Compound_0002",30833451.1933333,20710566.17,0.574129386161807,0.0318289871333687,0.633902346439173,1.63210915987912,"(-)-2-(2-hydroxyethyl)clavam","(-)-2-(2-hydroxyethyl)clavam",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C7 H11 N O3",157.07381,1.615,NA,NA,NA,NA,NA
"Compound_0003",5540163.52966667,4601818.304,0.267724539100959,0.564340490160147,0.813927720736935,0.58481943164238,"(-)-penicamide A","(-)-penicamide A",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C18 H18 N2 O3",310.13173,14.545,NA,NA,NA,NA,NA
"Compound_0004",4147982.973,5615017.12133333,-0.436880449640589,0.195793766802741,0.72126815721051,1.26373512428886,"(+)-6-Hydroxysporotricale, open form-isoform1","(+)-6-Hydroxysporotricale, open form-isoform1",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C24 H36 O7",436.24511,9.803,NA,NA,NA,NA,NA
"Compound_0005",18100592.8456667,14100329.2933333,0.360308095301391,0.596910181508268,0.830645681599649,0.559279987671992,"(+)-6-Hydroxysporotricale, open form-isoform2","(+)-6-Hydroxysporotricale, open form-isoform2",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C24 H36 O7",436.24525,10.892,NA,NA,NA,NA,NA
"Compound_0006",37949361.95,52409116.42,-0.465742156847873,0.158081462391682,0.72126815721051,1.2568662204,"(+)-6-Hydroxysporotricale, open form-isoform3","(+)-6-Hydroxysporotricale, open form-isoform3",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C24 H36 O7",436.24529,12.32,NA,NA,NA,NA,NA
"Compound_0007",6421964.96866667,5015725.072,0.356556523734267,0.0808893373191444,0.72126815721051,1.46332836703909,"(11aS)‐2,3‐dihydro‐7‐methoxy‐1H‐pyrrolo[2,1‐c][1,4]benzodiazepine‐5,11(10H,11aH)‐dione","(11aS)‐2,3‐dihydro‐7‐methoxy‐1H‐pyrrolo[2,1‐c][1,4]benzodiazepine‐5,11(10H,11aH)‐dione",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C13 H14 N2 O3",246.10015,6.536,NA,NA,NA,NA,NA
"Compound_0008",806157386.633333,647274698.6,0.316683413253999,0.461702715231389,0.769110966483451,0.71100571998018,"(18S )-18-O-a-L-rhamnopyranosyl-(1-4)-b-D-glucopyranosideto protoconstipatic acid","(18S )-18-O-a-L-rhamnopyranosyl-(1-4)-b-D-glucopyranosideto protoconstipatic acid",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C33 H56 O14",676.3652,11.984,NA,NA,NA,NA,NA
"Compound_0009",7921343.63866667,14730328.9183333,-0.894972575327906,0.354441946174444,0.758182772152527,0.971902717985647,"(1R,2E,7R,10E,12S,13S,15R)-12,15-dihydroxy-7-methyl-8-oxabicyclo[11.3.0]hexadeca-2,10-dien-9-one-isoform1","(1R,2E,7R,10E,12S,13S,15R)-12,15-dihydroxy-7-methyl-8-oxabicyclo[11.3.0]hexadeca-2,10-dien-9-one-isoform1",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C16 H24 O4",280.16724,8.223,NA,NA,NA,NA,NA
"Compound_0010",20333250.8533333,29218004.5933333,-0.52301676466886,0.455798944731643,0.76779059051518,0.812571028969861,"(1R,2E,7R,10E,12S,13S,15R)-12,15-dihydroxy-7-methyl-8-oxabicyclo[11.3.0]hexadeca-2,10-dien-9-one-isoform2","(1R,2E,7R,10E,12S,13S,15R)-12,15-dihydroxy-7-methyl-8-oxabicyclo[11.3.0]hexadeca-2,10-dien-9-one-isoform2",NA,"","pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","C16 H24 O4",280.16729,10.299,NA,NA,NA,NA,NA
